10
0.17831:57.3305,81.9289;0.340192	0.155397:-6.86949,24.3043;0.268223	0.163571:43.4937,-71.5765;0.452222	0.180418:-66.6042,-19.7837;-0.257124	0.151293:65.568,25.1401;0.498912	0.197278:-44.3145,51.6222;0.0242866	0.128331:-30.3323,62.4518;-0.0997728	0.108606:-63.3082,31.5996;0.449339	0.14577:-86.2479,-56.9274;-0.435838	0.153976:-27.7753,50.2004;0.350922	
0.17831:57.1734,81.9022;0.362872	0.155397:-7.02609,24.2065;0.286105	0.163571:43.496,-71.5696;0.48237	0.180418:-66.4669,-19.7817;-0.274266	0.151293:65.4177,25.3142;0.532171	0.197278:-44.5022,51.4456;0.0259056	0.128331:-30.3872,62.5121;-0.106425	0.108606:-63.4249,31.53;0.479297	0.14577:-86.1723,-57.2329;-0.464896	0.153976:-27.9631,50.0772;0.374317	
0.17831:57.0162,81.8755;0.385551	0.155397:-7.18274,24.1086;0.303986	0.163571:43.4983,-71.5628;0.512518	0.180418:-66.3296,-19.7798;-0.291408	0.151293:65.2674,25.4884;0.565431	0.197278:-44.6899,51.269;0.0275246	0.128331:-30.4422,62.5724;-0.113077	0.108606:-63.5416,31.4603;0.509254	0.14577:-86.0968,-57.5384;-0.493953	0.153976:-28.151,49.954;0.397712	
0.17831:56.859,81.8488;0.408231	0.155397:-7.33938,24.0108;0.321868	0.163571:43.5006,-71.5559;0.542666	0.180418:-66.1923,-19.7779;-0.308551	0.151293:65.1171,25.6625;0.59869	0.197278:-44.8776,51.0924;0.0291437	0.128331:-30.4971,62.6326;-0.119728	0.108606:-63.6584,31.3907;0.539211	0.14577:-86.0213,-57.8436;-0.523005	0.153976:-28.3389,49.8307;0.421107	
0.17831:56.7019,81.8221;0.43091	0.155397:-7.49602,23.9129;0.339749	0.163571:43.5029,-71.549;0.572814	0.180418:-66.0549,-19.776;-0.325693	0.151293:64.9668,25.8366;0.631949	0.197278:-45.0653,50.9158;0.0307627	0.128331:-30.552,62.6929;-0.12638	0.108606:-63.7751,31.3211;0.569168	0.14577:-85.9457,-58.1488;-0.552057	0.153976:-28.5268,49.7075;0.444501	
0.17831:56.5447,81.7954;0.45359	0.155397:-7.65266,23.8151;0.35763	0.163571:43.5052,-71.5422;0.602962	0.180418:-65.9176,-19.7741;-0.342835	0.151293:64.8165,26.0108;0.665209	0.197278:-45.2529,50.7391;0.0323817	0.128331:-30.607,62.7532;-0.133032	0.108606:-63.8918,31.2515;0.599126	0.14577:-85.8702,-58.454;-0.581108	0.153976:-28.7146,49.5843;0.467896	
0.17831:56.3875,81.7687;0.476269	0.155397:-7.8093,23.7172;0.375512	0.163571:43.5075,-71.5353;0.63311	0.180418:-65.7803,-19.7722;-0.359977	0.151293:64.6662,26.1849;0.698468	0.197278:-45.4406,50.5625;0.0340007	0.128331:-30.6619,62.8134;-0.139684	0.108606:-64.0086,31.1819;0.629083	0.14577:-85.7947,-58.7591;-0.610159	0.153976:-28.9025,49.4611;0.491291	
0.17831:56.2304,81.742;0.498949	0.155397:-7.96594,23.6194;0.393393	0.163571:43.5098,-71.5284;0.663258	0.180418:-65.6429,-19.7703;-0.37712	0.151293:64.5159,26.3591;0.731728	0.197278:-45.6283,50.3859;0.0356197	0.128331:-30.7168,62.8737;-0.146336	0.108606:-64.1253,31.1122;0.65904	0.14577:-85.7191,-59.0643;-0.639211	0.153976:-29.0904,49.3379;0.514682	
0.17831:56.0732,81.7153;0.521623	0.155397:-8.12254,23.5215;0.411274	0.163571:43.512,-71.5216;0.693406	0.180418:-65.5056,-19.7684;-0.394262	0.151293:64.3656,26.5332;0.764987	0.197278:-45.816,50.2093;0.0372387	0.128331:-30.7718,62.934;-0.152988	0.108606:-64.242,31.0426;0.688998	0.14577:-85.6436,-59.3695;-0.668262	0.153976:-29.2783,49.2147;0.538071	
0.17831:55.916,81.6886;0.544296	0.155397:-8.27914,23.4237;0.429156	0.163571:43.5143,-71.5147;0.723554	0.180418:-65.3683,-19.7665;-0.411404	0.151293:64.2153,26.7074;0.798246	0.197278:-46.0037,50.0327;0.0388577	0.128331:-30.8267,62.9943;-0.15964	0.108606:-64.3587,30.973;0.718955	0.14577:-85.5681,-59.6747;-0.697313	0.153976:-29.4661,49.0915;0.56146	
